op_index,op_name,op_type,cores,num_cores,partition,input_tensors,output_tensor,transform_ms,compute_ms,local_dram_ms,local_sram_ms,max_weight_capacity_per_core_bytes,max_kv_capacity_per_core_bytes,max_io_capacity_per_core_bytes,cumulative_weight_capacity_per_core_bytes,cumulative_kv_capacity_per_core_bytes,max_io_capacity_per_core_so_far_bytes,internal_comm_ms,op_latency_ms,step_latency_ms,compute_start_time_ms,prefetch_window_ms,prefetch_dram_hidden_ms,prefetch_sram_utilization_at_compute_start,prefetch_sram_full_time_ms,dram_stream_break_count,dram_restart_penalty_ms,exposed_time_after_step_ms,bottleneck,transform_comm_semantics,internal_comm_semantics,notes
0,0_ATTN_x_rsqrt,RMSNORM,0-15,16,hidden_split,residual=<missing>,ATTN_x_rsqrt=hidden@0-15,0.000000000,0.000017500,0.000000000,0.000000000,0.0,0.0,3584.0,0.0,0.0,3584.0,0.000048035,0.000065535,0.000065535,0.000000000,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,communication,residual:none(missing_input),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
1,0_ATTN_hc_fn_linear,GEMM,0-63,64,input_split,residual=<missing>,ATTN_F=replicated@0-63,0.000000000,0.000014000,0.000192552,0.000000000,10752.0,0.0,472.0,10752.0,0.0,3584.0,0.000082312,0.000274865,0.000274865,0.000065535,0.000000000,0.000000000,0.000000000,,1,0.000100000,0.000000000,local_dram,residual:none(missing_input),allreduce(output),{'meaning': 'split K/input features; row parallel; allreduce output'}
2,0_ATTN_F_rsqrt,ELEMENTWISE,0,1,hidden_split,ATTN_F=replicated@0-63; ATTN_x_rsqrt=hidden@0-15,ATTN_pre_post_comb=hidden@0,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,48.0,10752.0,0.0,3584.0,0.000000000,0.000000500,0.000000500,0.000340399,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,ATTN_F:none(replicated_local_slice); ATTN_x_rsqrt:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
3,0_ATTN_pre_x,ELEMENTWISE,0-31,32,hidden_split,previous=hidden@0,chain_output=hidden@0-31,0.000000000,0.000002000,0.000000000,0.000000000,0.0,0.0,1792.0,10752.0,0.0,3584.0,0.000000000,0.000002000,0.000002000,0.000340899,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,previous:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
4,0_ATTN_pre_x_reducesum,REDUCE_SUM,0-31,32,hidden_split,previous=hidden@0-31,chain_output=hidden@0-31,0.000000000,0.000001500,0.000000000,0.000000000,0.0,0.0,1120.0,10752.0,0.0,3584.0,0.000000000,0.000001500,0.000001500,0.000342899,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,previous:none(compatible_shards),none,{'meaning': 'split output hidden; reduce_dim is local'}
5,0_ATTN_attn_norm,RMSNORM,0,1,hidden_split,previous=hidden@0-31,attn_norm_output=hidden@0,0.000000000,0.000070000,0.000000000,0.000000000,0.0,0.0,14336.0,10752.0,0.0,14336.0,0.000000000,0.000070000,0.000070000,0.000344399,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,previous:none(compatible_shards+redundant_compute_representative_group),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
6,0_q_a_linear,GEMM,0-63,64,output_split,attn_norm_output=hidden@0,chain_output=q_lora_rank@0-63,0.000000000,0.000224000,0.000822500,0.000000000,172032.0,0.0,7192.0,182784.0,0.0,14336.0,0.000000000,0.000822500,0.000822500,0.000414399,0.000000000,0.000000000,0.000000000,,1,0.000100000,0.000000000,local_dram,attn_norm_output:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
7,0_q_norm,RMSNORM,0,1,batch_split,previous=q_lora_rank@0-63,q_lora_normed=batch_size@0,0.000043000,0.000015000,0.000000000,0.000000000,0.0,0.0,3072.0,182784.0,0.0,14336.0,0.000000000,0.000015000,0.000058000,0.001279899,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,previous:alltoall_reshuffle(sharded_to_sharded_or_replicated),none,{'meaning': 'split batch/tokens; full hidden per core'}
8,0_q_b_linear,GEMM,0-63,64,output_split,q_lora_normed=batch_size@0,chain_output=heads*head_dim@0-63,0.000000000,0.001536000,0.006319750,0.000000000,1572864.0,0.0,2560.0,1755648.0,0.0,14336.0,0.000000000,0.006319750,0.006319750,0.001294899,0.000000000,0.000000000,0.000000000,,1,0.000100000,0.000000000,local_dram,q_lora_normed:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
9,0_qb_rnorm,RMSNORM,0-31,32,hidden_split,previous=heads*head_dim@0-63,query_heads_normed=heads*head_dim@0-31,0.000065750,0.000020000,0.000000000,0.000000000,0.0,0.0,4096.0,1755648.0,0.0,14336.0,0.000065043,0.000085043,0.000150793,0.007680399,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,communication,previous:alltoall_reshuffle(sharded_to_sharded),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
10,0_q_rope,ELEMENTWISE,0,1,heads*head_dim_split,query_heads_normed=heads*head_dim@0-31,chain_output=heads*head_dim@0,0.000000000,0.000016000,0.000000000,0.000000000,0.0,0.0,16384.0,1755648.0,0.0,16384.0,0.000000000,0.000016000,0.000016000,0.007765443,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,query_heads_normed:none(compatible_shards+redundant_compute_representative_group),gather(output_for_remote),{'meaning': 'split semantic axis; preserve elementwise layout'}
11,0_kv_linear,GEMM,0-63,64,output_split,attn_norm_output=hidden@0,chain_output=head_dim@0-63,0.000000000,0.000112000,0.000374500,0.000000000,57344.0,0.0,7176.0,1812992.0,0.0,16384.0,0.000000000,0.000374500,0.000374500,0.007781443,0.000000000,0.000000000,0.000000000,,1,0.000100000,0.000000000,local_dram,attn_norm_output:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
12,0_kv_norm,RMSNORM,0,1,replicated_hidden,previous=head_dim@0-63,window_kv_normed=replicated@0,0.000043000,0.000005000,0.000000000,0.000000000,0.0,0.0,1024.0,1812992.0,0.0,16384.0,0.000000000,0.000005000,0.000048000,0.008198943,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,previous:allgather(previous_shards_to_replicated),none,{'meaning': 'full hidden on each core'}
13,0_kv_rope,ELEMENTWISE,0,1,batch_split,window_kv_normed=replicated@0,chain_output=batch_size@0,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,128.0,1812992.0,0.0,16384.0,0.000000000,0.000000500,0.000000500,0.008203943,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,window_kv_normed:none(replicated_local_slice),gather(output_for_remote),{'meaning': 'split batch/tokens; preserve elementwise layout'}
14,0_hca_compressor_wkv,GEMM,0-63,64,output_split,attn_norm_output=hidden@0,hca_compressor_kv=hca_compressor_projected@0-63,0.000000000,0.000112000,0.000598500,0.000000000,114688.0,0.0,14352.0,1927680.0,0.0,16384.0,0.000000000,0.000598500,0.000598500,0.008204443,0.000000000,0.000000000,0.000000000,,1,0.000100000,0.000000000,local_dram,attn_norm_output:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
15,0_hca_compressor_wgate,GEMM,0-63,64,output_split,attn_norm_output=hidden@0,hca_compressor_gate=hca_compressor_projected@0-63,0.000000000,0.000112000,0.000598500,0.000000000,114688.0,0.0,14352.0,2042368.0,0.0,16384.0,0.000000000,0.000598500,0.000598500,0.008802943,0.000000000,0.000000000,0.000000000,,1,0.000100000,0.000000000,local_dram,attn_norm_output:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
16,0_hca_compressor_score_softmax,SOFTMAX,0-31,32,hca_compressor_window_split,hca_compressor_gate=hca_compressor_projected@0-63,hca_compressor_scores=hca_compressor_window@0-31,0.000043000,0.000020000,0.000000000,0.000000000,0.0,0.0,8192.0,2042368.0,0.0,16384.0,0.000065087,0.000085087,0.000128087,0.009444443,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,communication,hca_compressor_gate:alltoall_reshuffle(sharded_to_sharded),allreduce(softmax_max_sum),{'meaning': 'split softmax axis; allreduce max/sum statistics'}
17,0_hca_compressor_kv_mul_score,ELEMENTWISE,0-63,64,hca_compressor_window_split,hca_compressor_kv=hca_compressor_projected@0-63; hca_compressor_scores=hca_compressor_window@0-31,hca_compressor_weighted_kv=hca_compressor_window@0-63,0.000043000,0.000002000,0.000000000,0.000000000,0.0,0.0,4096.0,2042368.0,0.0,16384.0,0.000000000,0.000002000,0.000045000,0.009572529,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,hca_compressor_kv:alltoall_reshuffle(sharded_to_sharded_or_replicated); hca_compressor_scores:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
18,0_hca_compressor_kv_reducesum,REDUCE_SUM,0-31,32,hca_compressor_head_dim_split,hca_compressor_weighted_kv=hca_compressor_window@0-63,hca_compressor_pooled_kv=hca_compressor_head_dim@0-31,0.000090250,0.000004000,0.000000000,0.000000000,0.0,0.0,4128.0,2042368.0,0.0,16384.0,0.000000000,0.000004000,0.000094250,0.009664779,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,hca_compressor_weighted_kv:alltoall_reshuffle(sharded_to_sharded_or_replicated),none,{'meaning': 'split output hidden; reduce_dim is local'}
19,0_hca_compressor_kv_rmsnorm,RMSNORM,0,1,hidden_split,hca_compressor_pooled_kv=hca_compressor_head_dim@0-31,hca_compressor_kv_normed=hca_compressor_head_dim@0,0.000000000,0.000005000,0.000000000,0.000000000,0.0,0.0,2048.0,2042368.0,0.0,16384.0,0.000000000,0.000005000,0.000005000,0.009668779,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,hca_compressor_pooled_kv:none(compatible_shards+redundant_compute_representative_group),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
20,0_hca_compressor_kv_rope,ELEMENTWISE,0,1,batch_split,hca_compressor_kv_normed=hca_compressor_head_dim@0,compressed_kv_cache=batch_size@0,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,2048.0,2042368.0,0.0,16384.0,0.000000000,0.000000500,0.000000500,0.009673779,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,hca_compressor_kv_normed:alltoall_reshuffle(sharded_to_sharded_or_replicated),gather(output_for_remote),{'meaning': 'split batch/tokens; preserve elementwise layout'}
21,0_DV_FA_flash_attn,REMOTE,0-63,64,manual,previous=batch_size@0,core_attn_output=replicated@0-63,0.000000000,0.001457000,0.000000000,0.000000000,0.0,0.0,0.0,2042368.0,0.0,16384.0,0.000154000,0.001611000,0.001611000,0.009674279,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,previous:none,broadcast(remote_output),{'meaning': 'manual fixed-time remote/custom op'}
22,0_inverse_rope,ELEMENTWISE,0-31,32,hidden_split,core_attn_output=replicated@0-63,chain_output=hidden@0-31,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,512.0,2042368.0,0.0,16384.0,0.000000000,0.000000500,0.000000500,0.011285279,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,core_attn_output:none(replicated_local_slice),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
23,0_wo_a_linear,GEMM,0-63,64,output_split,core_attn_output=replicated@0-63,chain_output=o_lora_rank@0-63,0.000000000,0.000256000,0.000406500,0.000000000,65536.0,0.0,65792.0,2107904.0,0.0,65792.0,0.000000000,0.000406500,0.000406500,0.011285779,0.000000000,0.000000000,0.000000000,,1,0.000100000,0.000000000,local_dram,core_attn_output:none(replicated_to_replicated_subset),none,{'meaning': 'split N/output features; column parallel'}
24,0_wo_b_linear,GEMM,0-63,64,output_split,previous=o_lora_rank@0-63,o_b_proj_attnout=hidden@0-63,0.000162000,0.001792000,0.007356375,0.000000000,1835008.0,0.0,16496.0,3942912.0,0.0,65792.0,0.000000000,0.007356375,0.007518375,0.011854279,0.000000000,0.000000000,0.000000000,,1,0.000100000,0.000000000,local_dram,previous:allgather(previous_shards_to_replicated),none,{'meaning': 'split N/output features; column parallel'}
25,0_ATTN_post_attnout,ELEMENTWISE,0-63,64,hidden_split,o_b_proj_attnout=hidden@0-63; ATTN_pre_post_comb=hidden@0,chain_output=hidden@0-63,0.000000000,0.000001000,0.000000000,0.000000000,0.0,0.0,896.0,3942912.0,0.0,65792.0,0.000000000,0.000001000,0.000001000,0.019210654,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,o_b_proj_attnout:none(compatible_shards); ATTN_pre_post_comb:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
26,0_ATTN_comb_residual,ELEMENTWISE,0-31,32,hidden_split,ATTN_pre_post_comb=hidden@0; residual=<missing>,ATTN_comb_residual=hidden@0-31,0.000000000,0.000007000,0.000000000,0.000000000,0.0,0.0,7168.0,3942912.0,0.0,65792.0,0.000000000,0.000007000,0.000007000,0.019211654,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,ATTN_pre_post_comb:none(compatible_shards+redundant_compute_representative_group); residual:none(missing_input),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
27,0_ATTN_comb_residual_reducesum,REDUCE_SUM,0-31,32,hidden_split,previous=hidden@0-31,ATTN_comb_residual_reducesum=hidden@0-31,0.000000000,0.000005500,0.000000000,0.000000000,0.0,0.0,4480.0,3942912.0,0.0,65792.0,0.000000000,0.000005500,0.000005500,0.019218654,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,previous:none(compatible_shards),none,{'meaning': 'split output hidden; reduce_dim is local'}
28,0_ATTN_add,ELEMENTWISE,0-31,32,hidden_split,ATTN_comb_residual_reducesum=hidden@0-31; ATTN_comb_residual=hidden@0-31,residual=hidden@0-31,0.000000000,0.000002000,0.000000000,0.000000000,0.0,0.0,1792.0,3942912.0,0.0,65792.0,0.000000000,0.000002000,0.000002000,0.019224154,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,ATTN_comb_residual_reducesum:none(compatible_shards); ATTN_comb_residual:none(compatible_shards),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
29,0_FFN_x_rsqrt,RMSNORM,0-15,16,hidden_split,residual=hidden@0-31,FFN_x_rsqrt=hidden@0-15,0.000000000,0.000017500,0.000000000,0.000000000,0.0,0.0,3584.0,3942912.0,0.0,65792.0,0.000048035,0.000065535,0.000065535,0.019226154,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,communication,residual:none(compatible_shards+redundant_compute_representative_group),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
30,0_FFN_hc_fn_linear,GEMM,0-63,64,input_split,residual=hidden@0-31,FFN_F=replicated@0-63,0.000000000,0.000014000,0.000192552,0.000000000,10752.0,0.0,472.0,3953664.0,0.0,65792.0,0.000082312,0.000274865,0.000274865,0.019291689,0.000000000,0.000000000,0.000000000,,1,0.000100000,0.000000000,local_dram,residual:none(compatible_shards+redundant_compute_representative_group),allreduce(output),{'meaning': 'split K/input features; row parallel; allreduce output'}
31,0_FFN_F_rsqrt,ELEMENTWISE,0,1,hidden_split,FFN_F=replicated@0-63; FFN_x_rsqrt=hidden@0-15,FFN_pre_post_comb=hidden@0,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,48.0,3953664.0,0.0,65792.0,0.000000000,0.000000500,0.000000500,0.019566554,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,FFN_F:none(replicated_local_slice); FFN_x_rsqrt:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
32,0_FFN_pre_x,ELEMENTWISE,0-31,32,hidden_split,previous=hidden@0,chain_output=hidden@0-31,0.000000000,0.000002000,0.000000000,0.000000000,0.0,0.0,1792.0,3953664.0,0.0,65792.0,0.000000000,0.000002000,0.000002000,0.019567054,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,previous:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
33,0_FFN_pre_x_reducesum,REDUCE_SUM,0-31,32,hidden_split,previous=hidden@0-31,chain_output=hidden@0-31,0.000000000,0.000001500,0.000000000,0.000000000,0.0,0.0,1120.0,3953664.0,0.0,65792.0,0.000000000,0.000001500,0.000001500,0.019569054,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,previous:none(compatible_shards),none,{'meaning': 'split output hidden; reduce_dim is local'}
34,0_FFN_ffn_norm,RMSNORM,0,1,hidden_split,previous=hidden@0-31,ffn_norm_output=hidden@0,0.000000000,0.000070000,0.000000000,0.000000000,0.0,0.0,14336.0,3953664.0,0.0,65792.0,0.000000000,0.000070000,0.000070000,0.019570554,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,previous:none(compatible_shards+redundant_compute_representative_group),allreduce(rms_stats); gather(output_for_remote),{'meaning': 'split hidden; allreduce RMS statistic'}
35,0_gate_linear,GEMM,0-63,64,output_split,ffn_norm_output=hidden@0,routing_scores=num_experts@0-63,0.000000000,0.000112000,0.000318500,0.000000000,43008.0,0.0,7174.0,3996672.0,0.0,65792.0,0.000000000,0.000318500,0.000318500,0.019640554,0.000000000,0.000000000,0.000000000,,1,0.000100000,0.000000000,local_dram,ffn_norm_output:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
36,0_gate_topk,TOPK,0,1,replicated,routing_scores=num_experts@0-63,routing_topk=replicated@0,0.000043000,0.000002000,0.000000000,0.000000000,0.0,0.0,414.0,3996672.0,0.0,65792.0,0.000000000,0.000002000,0.000045000,0.020002054,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,routing_scores:allgather(previous_shards_to_replicated),none,{'meaning': 'replicated top-k over full score axis'}
