op_index,op_name,transform_start_ms,dram_start_ms,dram_end_ms,compute_start_ms,op_end_ms
0,0_ATTN_x_rsqrt,0.0,0.0,0.0,0.0,6.5535e-05
1,0_ATTN_hc_fn_linear,6.5535e-05,6.5535e-05,0.000258087,6.5535e-05,0.000340399
2,0_ATTN_F_rsqrt,0.000340399,0.0,0.000340399,0.000340399,0.00034089900000000003
3,0_ATTN_pre_x,0.000340899,0.0,0.000340899,0.000340899,0.00034289899999999997
4,0_ATTN_pre_x_reducesum,0.000342899,0.0,0.000342899,0.000342899,0.000344399
5,0_ATTN_attn_norm,0.000344399,0.0,0.000344399,0.000344399,0.000414399
6,0_q_a_linear,0.000414399,0.000414399,0.001236899,0.000414399,0.001236899
7,0_q_norm,0.0012368989999999999,0.0,0.001279899,0.001279899,0.001294899
8,0_q_b_linear,0.001294899,0.001294899,0.007614648999999999,0.001294899,0.007614648999999999
9,0_qb_rnorm,0.007614649,0.0,0.007680399,0.007680399,0.007765442
10,0_q_rope,0.007765443,0.0,0.007765443,0.007765443,0.007781443000000001
11,0_kv_linear,0.007781443,0.007781443,0.008155943,0.007781443,0.008155943
12,0_kv_norm,0.008155943,0.0,0.008198943,0.008198943,0.008203943
13,0_kv_rope,0.008203943,0.0,0.008203943,0.008203943,0.008204443
14,0_hca_compressor_wkv,0.008204443,0.008204443,0.008802943,0.008204443,0.008802943
15,0_hca_compressor_wgate,0.008802943,0.008802943,0.009401443,0.008802943,0.009401443
16,0_hca_compressor_score_softmax,0.009401443,0.0,0.009444443,0.009444443,0.00952953
17,0_hca_compressor_kv_mul_score,0.009529529,0.0,0.009572529,0.009572529,0.009574529
18,0_hca_compressor_kv_reducesum,0.009574529,0.0,0.009664779,0.009664779,0.009668779
19,0_hca_compressor_kv_rmsnorm,0.009668779,0.0,0.009668779,0.009668779,0.009673779
20,0_hca_compressor_kv_rope,0.009673779,0.0,0.009673779,0.009673779,0.009674279000000001
21,0_DV_FA_flash_attn,0.009674279,0.0,0.009674279,0.009674279,0.011285278999999999
22,0_inverse_rope,0.011285279,0.0,0.011285279,0.011285279,0.011285779000000001
23,0_wo_a_linear,0.011285779,0.011285779,0.011692279,0.011285779,0.011692279
24,0_wo_b_linear,0.011692279,0.011854279,0.019210654,0.011854279,0.019210654
25,0_ATTN_post_attnout,0.019210654,0.0,0.019210654,0.019210654,0.019211654
26,0_ATTN_comb_residual,0.019211654,0.0,0.019211654,0.019211654,0.019218654
27,0_ATTN_comb_residual_reducesum,0.019218654,0.0,0.019218654,0.019218654,0.019224154
28,0_ATTN_add,0.019224154,0.0,0.019224154,0.019224154,0.019226154
29,0_FFN_x_rsqrt,0.019226154,0.0,0.019226154,0.019226154,0.019291688999999997
30,0_FFN_hc_fn_linear,0.019291689,0.019291689,0.019484241,0.019291689,0.019566553
31,0_FFN_F_rsqrt,0.019566554,0.0,0.019566554,0.019566554,0.019567054
32,0_FFN_pre_x,0.019567054,0.0,0.019567054,0.019567054,0.019569054
33,0_FFN_pre_x_reducesum,0.019569054,0.0,0.019569054,0.019569054,0.019570554
34,0_FFN_ffn_norm,0.019570554,0.0,0.019570554,0.019570554,0.019640554
35,0_gate_linear,0.019640554,0.019640554,0.019959054,0.019640554,0.019959054
36,0_gate_topk,0.019959053999999997,0.0,0.020002054,0.020002054,0.020004053999999997
37,0_LPU_FFN,0.020004054,0.0,0.020004054,0.020004054,0.022648304
38,0_FFN_post_attnout,0.022648304,0.0,0.022648304,0.022648304,0.022649304000000002
39,0_FFN_comb_residual,0.022649304,0.0,0.022649304,0.022649304,0.022656304
40,0_FFN_comb_residual_reducesum,0.022656304,0.0,0.022656304,0.022656304,0.022661803999999997
41,0_FFN_add_layer_END,0.022661804,0.0,0.022661804,0.022661804,0.022663804
42,1_ATTN_x_rsqrt,0.022663804,0.0,0.022663804,0.022663804,0.022729338999999998
43,1_ATTN_hc_fn_linear,0.022729338,0.022729338,0.02292189,0.022729338,0.023004202
44,1_ATTN_F_rsqrt,0.023004203,0.0,0.023004203,0.023004203,0.023004703
45,1_ATTN_pre_x,0.023004703,0.0,0.023004703,0.023004703,0.023006703
46,1_ATTN_pre_x_reducesum,0.023006703,0.0,0.023006703,0.023006703,0.023008203
47,1_ATTN_attn_norm,0.023008203,0.0,0.023008203,0.023008203,0.023078203000000002
48,1_q_a_linear,0.023078203,0.023078203,0.023900703,0.023078203,0.023900703
49,1_q_norm,0.023900703,0.0,0.023943703,0.023943703,0.023958703
50,1_q_b_linear,0.023958703,0.023958703,0.030278453,0.023958703,0.030278453
51,1_qb_rnorm,0.030278453,0.0,0.030344203,0.030344203,0.030429246
52,1_q_rope,0.030429246,0.0,0.030429246,0.030429246,0.030445246
53,1_kv_linear,0.030445246,0.030445246,0.030819746,0.030445246,0.030819746
54,1_kv_norm,0.030819746,0.0,0.030862746,0.030862746,0.030867746
55,1_kv_rope,0.030867746,0.0,0.030867746,0.030867746,0.030868246000000002
56,1_hca_compressor_wkv,0.030868246,0.030868246,0.031466746,0.030868246,0.031466746
57,1_hca_compressor_wgate,0.031466746,0.031466746,0.032065246,0.031466746,0.032065246
58,1_hca_compressor_score_softmax,0.032065246,0.0,0.032108246,0.032108246,0.032193333
59,1_hca_compressor_kv_mul_score,0.032193333,0.0,0.032236333,0.032236333,0.032238333
60,1_hca_compressor_kv_reducesum,0.032238333,0.0,0.032328583,0.032328583,0.032332583
61,1_hca_compressor_kv_rmsnorm,0.032332583,0.0,0.032332583,0.032332583,0.032337582999999996
62,1_hca_compressor_kv_rope,0.032337583,0.0,0.032337583,0.032337583,0.032338083000000004
63,1_DV_FA_flash_attn,0.032338083,0.0,0.032338083,0.032338083,0.033949083
64,1_inverse_rope,0.033949083,0.0,0.033949083,0.033949083,0.033949583
65,1_wo_a_linear,0.033949583,0.033949583,0.034356082999999996,0.033949583,0.034356082999999996
66,1_wo_b_linear,0.034356082999999996,0.034518083,0.041874457999999996,0.034518083,0.041874457999999996
67,1_ATTN_post_attnout,0.041874458,0.0,0.041874458,0.041874458,0.041875458000000004
68,1_ATTN_comb_residual,0.041875458,0.0,0.041875458,0.041875458,0.041882458
69,1_ATTN_comb_residual_reducesum,0.041882458,0.0,0.041882458,0.041882458,0.041887957999999996
70,1_ATTN_add,0.041887958,0.0,0.041887958,0.041887958,0.041889958000000005
71,1_FFN_x_rsqrt,0.041889958,0.0,0.041889958,0.041889958,0.041955492999999996
72,1_FFN_hc_fn_linear,0.041955493,0.041955493,0.042148045,0.041955493,0.042230357
73,1_FFN_F_rsqrt,0.042230357,0.0,0.042230357,0.042230357,0.042230857000000004
74,1_FFN_pre_x,0.042230857,0.0,0.042230857,0.042230857,0.042232857
75,1_FFN_pre_x_reducesum,0.042232857,0.0,0.042232857,0.042232857,0.042234357
76,1_FFN_ffn_norm,0.042234357,0.0,0.042234357,0.042234357,0.042304357
77,1_gate_linear,0.042304357,0.042304357,0.042622857,0.042304357,0.042622857
78,1_gate_topk,0.042622857,0.0,0.042665857,0.042665857,0.042667857000000003
79,1_LPU_FFN,0.042667857,0.0,0.042667857,0.042667857,0.045312107
80,1_FFN_post_attnout,0.045312107,0.0,0.045312107,0.045312107,0.045313107
81,1_FFN_comb_residual,0.045313107,0.0,0.045313107,0.045313107,0.045320107
82,1_FFN_comb_residual_reducesum,0.045320107,0.0,0.045320107,0.045320107,0.045325607
83,1_FFN_add_layer_END,0.045325607,0.0,0.045325607,0.045325607,0.045327607
84,2_ATTN_x_rsqrt,0.045327607,0.0,0.045327607,0.045327607,0.045393142
85,2_ATTN_hc_fn_linear,0.045393142,0.045393142,0.045585693999999996,0.045393142,0.045668006
86,2_ATTN_F_rsqrt,0.045668007,0.0,0.045668007,0.045668007,0.045668507
87,2_ATTN_pre_x,0.045668507,0.0,0.045668507,0.045668507,0.045670507
88,2_ATTN_pre_x_reducesum,0.045670507,0.0,0.045670507,0.045670507,0.045672007
89,2_ATTN_attn_norm,0.045672007,0.0,0.045672007,0.045672007,0.045742007
90,2_q_a_linear,0.045742007,0.045742007,0.046564507,0.045742007,0.046564507
91,2_q_norm,0.046564507,0.0,0.046607507,0.046607507,0.046622507
92,2_q_b_linear,0.046622507,0.046622507,0.052942257,0.046622507,0.052942257
93,2_qb_rnorm,0.052942257,0.0,0.053008007,0.053008007,0.05309305
94,2_q_rope,0.05309305,0.0,0.05309305,0.05309305,0.053109050000000005
95,2_kv_linear,0.05310905,0.05310905,0.05348355,0.05310905,0.05348355
96,2_kv_norm,0.05348355,0.0,0.05352655,0.05352655,0.05353155
97,2_kv_rope,0.05353155,0.0,0.05353155,0.05353155,0.05353205
98,2_csa_compressor_wkv,0.05353205,0.05353205,0.054578549999999997,0.05353205,0.054578549999999997
99,2_csa_compressor_wgate,0.05457855,0.05457855,0.05562505,0.05457855,0.05562505
100,2_csa_compressor_score_softmax,0.055625049999999995,0.0,0.05566805,0.05566805,0.05570056699999999
101,2_csa_compressor_kv_mul_score,0.055700568,0.0,0.055743568,0.055743568,0.055751568
102,2_csa_compressor_kv_reducesum,0.055751568,0.0,0.055751568,0.055751568,0.055752068
103,2_csa_compressor_kv_rmsnorm,0.055752068,0.0,0.055752068,0.055752068,0.055757068
104,2_csa_compressor_kv_rope,0.055757068,0.0,0.055757068,0.055757068,0.055757568
105,2_indexer_compressor_wkv,0.055757568,0.055757568,0.056132068,0.055757568,0.056132068
106,2_indexer_compressor_wgate,0.056132068,0.056132068,0.056506568,0.056132068,0.056506568
107,2_indexer_compressor_score_softmax,0.056506568,0.0,0.056549568,0.056549568,0.056559568000000005
108,2_indexer_compressor_kv_mul_score,0.056559568,0.0,0.056602568,0.056602568,0.056604568
109,2_indexer_compressor_kv_reducesum,0.056604568,0.0,0.056604568,0.056604568,0.056605068
110,2_indexer_compressor_kv_rmsnorm,0.056605068,0.0,0.056605068,0.056605068,0.056606568
111,2_indexer_compressor_kv_rope,0.056606568,0.0,0.056606568,0.056606568,0.056607068
112,2_indexer_compressor_kv_hadamard,0.056607068,0.0,0.056607068,0.056607068,0.056609068000000005
113,2_indexer_q_linear,0.056609068,0.056609068,0.057527568,0.056609068,0.057527568
114,2_indexer_qb_rope,0.057527568,0.0,0.057527568,0.057527568,0.057528068
115,2_indexer_q_hadamard,0.057528068,0.0,0.057528068,0.057528068,0.057627568000000004
116,2_indexer_weights_proj,0.057627568,0.057627568,0.057806067999999995,0.057627568,0.057849068
117,2_B200_indexer_score,0.057849068,0.0,0.057849068,0.057849068,0.059991067999999995
118,2_B200_indexer_topk,0.059991068,0.0,0.059991068,0.059991068,0.060076168
119,2_DV_FA_flash_attn,0.060076168,0.0,0.060076168,0.060076168,0.061042068
120,2_inverse_rope,0.061042068,0.0,0.061042068,0.061042068,0.061042568
121,2_wo_a_linear,0.061042568,0.061042568,0.061449067999999996,0.061042568,0.061449067999999996
122,2_wo_b_linear,0.061449067999999996,0.061611068,0.068967443,0.061611068,0.068967443
123,2_ATTN_post_attnout,0.068967443,0.0,0.068967443,0.068967443,0.068968443
124,2_ATTN_comb_residual,0.068968443,0.0,0.068968443,0.068968443,0.068975443
125,2_ATTN_comb_residual_reducesum,0.068975443,0.0,0.068975443,0.068975443,0.068980943
126,2_ATTN_add,0.068980943,0.0,0.068980943,0.068980943,0.068982943
127,2_FFN_x_rsqrt,0.068982943,0.0,0.068982943,0.068982943,0.06904847800000001
128,2_FFN_hc_fn_linear,0.069048477,0.069048477,0.069241029,0.069048477,0.069323341
129,2_FFN_F_rsqrt,0.069323342,0.0,0.069323342,0.069323342,0.069323842
130,2_FFN_pre_x,0.069323842,0.0,0.069323842,0.069323842,0.069325842
131,2_FFN_pre_x_reducesum,0.069325842,0.0,0.069325842,0.069325842,0.069327342
132,2_FFN_ffn_norm,0.069327342,0.0,0.069327342,0.069327342,0.069397342
133,2_gate_linear,0.069397342,0.069397342,0.069715842,0.069397342,0.069715842
134,2_gate_topk,0.069715842,0.0,0.069758842,0.069758842,0.069760842
135,2_LPU_FFN,0.069760842,0.0,0.069760842,0.069760842,0.072405092
