op_index,op_name,op_type,cores,num_cores,partition,input_tensors,output_tensor,transform_ms,compute_ms,local_dram_ms,local_sram_ms,max_weight_capacity_per_core_bytes,max_kv_capacity_per_core_bytes,max_io_capacity_per_core_bytes,cumulative_weight_capacity_per_core_bytes,cumulative_kv_capacity_per_core_bytes,max_io_capacity_per_core_so_far_bytes,internal_comm_ms,op_latency_ms,step_latency_ms,compute_start_time_ms,prefetch_window_ms,prefetch_dram_hidden_ms,prefetch_sram_utilization_at_compute_start,prefetch_sram_full_time_ms,dram_stream_break_count,dram_restart_penalty_ms,exposed_time_after_step_ms,bottleneck,transform_comm_semantics,internal_comm_semantics,notes
0,0_ATTN_x_rsqrt,RMSNORM,0-7,8,hidden_split,residual=<missing>,ATTN_x_rsqrt=hidden@0-7,0.000000000,0.000035000,0.000000000,0.000000000,0.0,0.0,7168.0,0.0,0.0,7168.0,0.000057526,0.000092526,0.000092526,0.000000000,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000092526,communication,residual:none(missing_input),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
1,0_ATTN_hc_fn_linear,GEMM,0-31,32,input_split,residual=<missing>,ATTN_F=replicated@0-31,0.000000000,0.000028000,0.000085810,0.000000000,21504.0,0.0,920.0,21504.0,0.0,7168.0,0.000110760,0.000138760,0.000138760,0.000092526,0.000092526,0.000085810,0.038645104,,0,0.000000000,0.000145477,communication,residual:none(missing_input),allreduce(output),{'meaning': 'split K/input features; row parallel; allreduce output'}
2,0_ATTN_F_rsqrt,ELEMENTWISE,0,1,hidden_split,ATTN_F=replicated@0-31; ATTN_x_rsqrt=hidden@0-7,ATTN_pre_post_comb=hidden@0,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,48.0,21504.0,0.0,7168.0,0.000000000,0.000000500,0.000000500,0.000231286,0.000145477,0.000000000,0.060760797,,0,0.000000000,0.000145977,compute,ATTN_F:none(replicated_local_slice+redundant_compute_representative_group); ATTN_x_rsqrt:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
3,0_ATTN_pre_x,ELEMENTWISE,0-127,128,hidden_split,previous=hidden@0,chain_output=hidden@0-127,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,448.0,21504.0,0.0,7168.0,0.000000000,0.000000500,0.000000500,0.000231786,0.000145977,0.000000000,0.060969630,,0,0.000000000,0.000146477,compute,previous:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
4,0_ATTN_pre_x_reducesum,REDUCE_SUM,0-127,128,hidden_split,previous=hidden@0-127,chain_output=hidden@0-127,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,280.0,21504.0,0.0,7168.0,0.000000000,0.000000500,0.000000500,0.000232286,0.000146477,0.000000000,0.061178464,,0,0.000000000,0.000146977,compute,previous:none(compatible_shards),none,{'meaning': 'split output hidden; reduce_dim is local'}
5,0_ATTN_attn_norm,RMSNORM,0,1,hidden_split,previous=hidden@0-127,attn_norm_output=hidden@0,0.000000000,0.000070000,0.000000000,0.000000000,0.0,0.0,14336.0,21504.0,0.0,14336.0,0.000000000,0.000070000,0.000070000,0.000232786,0.000146977,0.000000000,0.061387298,,0,0.000000000,0.000216977,compute,previous:none(compatible_shards+redundant_compute_representative_group),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
6,0_q_a_linear,GEMM,0-255,256,output_split,attn_norm_output=hidden@0,chain_output=q_lora_rank@0-255,0.000000000,0.000112000,0.000171620,0.000000000,43008.0,0.0,7174.0,64512.0,0.0,14336.0,0.000000000,0.000112000,0.000112000,0.000302786,0.000216977,0.000171620,0.090624011,,0,0.000000000,0.000157357,compute,attn_norm_output:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
7,0_q_norm,RMSNORM,0,1,replicated_hidden,previous=q_lora_rank@0-255,q_lora_normed=replicated@0,0.000229500,0.000015000,0.000000000,0.000000000,0.0,0.0,3072.0,64512.0,0.0,14336.0,0.000000000,0.000015000,0.000244500,0.000644286,0.000386857,0.000000000,0.161577403,,0,0.000000000,0.000401857,compute,previous:allgather(previous_shards_to_replicated),none,{'meaning': 'full hidden on each core'}
8,0_q_b_linear,GEMM,0-255,256,output_split,q_lora_normed=replicated@0,chain_output=heads*head_dim@0-255,0.000000000,0.000384000,0.001569096,0.000000000,393216.0,0.0,1792.0,457728.0,0.0,14336.0,0.000000000,0.001167239,0.001167239,0.000659286,0.000401857,0.000401857,0.167842412,,0,0.000000000,0.000000000,local_dram,q_lora_normed:none(replicated_to_replicated_subset+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
9,0_qb_rnorm,RMSNORM,0-15,16,hidden_split,previous=heads*head_dim@0-255,query_heads_normed=heads*head_dim@0-15,0.000244500,0.000040000,0.000000000,0.000000000,0.0,0.0,8192.0,457728.0,0.0,14336.0,0.000076035,0.000116035,0.000360535,0.002071025,0.000244500,0.000000000,0.102119661,,0,0.000000000,0.000360535,communication,previous:alltoall_reshuffle(sharded_to_sharded),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
10,0_q_rope,ELEMENTWISE,0,1,heads*head_dim_split,query_heads_normed=heads*head_dim@0-15,chain_output=heads*head_dim@0,0.000000000,0.000016000,0.000000000,0.000000000,0.0,0.0,16384.0,457728.0,0.0,16384.0,0.000000000,0.000016000,0.000016000,0.002187060,0.000360535,0.000000000,0.150583574,,0,0.000000000,0.000376535,compute,query_heads_normed:none(compatible_shards+redundant_compute_representative_group),gather(output_for_remote),{'meaning': 'split semantic axis; preserve elementwise layout'}
11,0_kv_linear,GEMM,0-127,128,output_split,attn_norm_output=hidden@0,chain_output=head_dim@0-127,0.000000000,0.000112000,0.000114413,0.000000000,28672.0,0.0,7172.0,486400.0,0.0,16384.0,0.000000000,0.000112000,0.000112000,0.002203060,0.000376535,0.000114413,0.157266251,,0,0.000000000,0.000374121,compute,attn_norm_output:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
12,0_kv_norm,RMSNORM,0,1,hidden_split,previous=head_dim@0-127,window_kv_normed=head_dim@0,0.000000000,0.000005000,0.000000000,0.000000000,0.0,0.0,1024.0,486400.0,0.0,16384.0,0.000000000,0.000005000,0.000005000,0.002315060,0.000374121,0.000000000,0.156258325,,0,0.000000000,0.000379121,compute,previous:none(compatible_shards+redundant_compute_representative_group),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
13,0_kv_rope,ELEMENTWISE,0,1,batch_split,window_kv_normed=head_dim@0,chain_output=batch_size@0,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,128.0,486400.0,0.0,16384.0,0.000000000,0.000000500,0.000000500,0.002320060,0.000379121,0.000000000,0.158346661,,0,0.000000000,0.000379621,compute,window_kv_normed:alltoall_reshuffle(sharded_to_sharded_or_replicated),gather(output_for_remote),{'meaning': 'split batch/tokens; preserve elementwise layout'}
14,0_hca_compressor_wkv,GEMM,0-255,256,output_split,attn_norm_output=hidden@0,hca_compressor_kv=hca_compressor_projected@0-255,0.000000000,0.000112000,0.000114413,0.000000000,28672.0,0.0,14340.0,515072.0,0.0,16384.0,0.000000000,0.000112000,0.000112000,0.002320560,0.000379621,0.000114413,0.158555495,,0,0.000000000,0.000377208,compute,attn_norm_output:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
15,0_hca_compressor_wgate,GEMM,0-63,64,output_split,attn_norm_output=hidden@0,hca_compressor_gate=hca_compressor_projected@0-63,0.000000000,0.000112000,0.000457653,0.000000000,114688.0,0.0,14352.0,629760.0,0.0,16384.0,0.000000000,0.000112000,0.000112000,0.002432560,0.000377208,0.000377208,0.157547569,,0,0.000000000,0.000031555,compute,attn_norm_output:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
16,0_hca_compressor_score_softmax,SOFTMAX,0-15,16,hca_compressor_window_split,hca_compressor_gate=hca_compressor_projected@0-63,hca_compressor_scores=hca_compressor_window@0-15,0.000092000,0.000040000,0.000000000,0.000000000,0.0,0.0,16384.0,629760.0,0.0,16384.0,0.000076069,0.000116069,0.000208069,0.002636560,0.000123555,0.000000000,0.051605037,,0,0.000000000,0.000239625,communication,hca_compressor_gate:alltoall_reshuffle(sharded_to_sharded+redundant_compute_representative_group),allreduce(softmax_max_sum),{'meaning': 'split softmax axis; allreduce max/sum statistics'}
17,0_hca_compressor_kv_mul_score,ELEMENTWISE,0,1,hca_compressor_window_split,hca_compressor_kv=hca_compressor_projected@0-255; hca_compressor_scores=hca_compressor_window@0-15,hca_compressor_weighted_kv=hca_compressor_window@0,0.000192000,0.000128000,0.000000000,0.000000000,0.0,0.0,262144.0,629760.0,0.0,262144.0,0.000000000,0.000128000,0.000320000,0.002944630,0.000431625,0.000000000,0.180275578,,0,0.000000000,0.000559625,compute,hca_compressor_kv:alltoall_reshuffle(sharded_to_sharded_or_replicated); hca_compressor_scores:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
18,0_hca_compressor_kv_reducesum,REDUCE_SUM,0-127,128,hca_compressor_head_dim_split,hca_compressor_weighted_kv=hca_compressor_window@0,hca_compressor_pooled_kv=hca_compressor_head_dim@0-127,0.000000000,0.000001000,0.000000000,0.000000000,0.0,0.0,1032.0,629760.0,0.0,262144.0,0.000000000,0.000001000,0.000001000,0.003072630,0.000559625,0.000000000,0.233736996,,0,0.000000000,0.000560625,compute,hca_compressor_weighted_kv:alltoall_reshuffle(sharded_to_sharded_or_replicated+redundant_compute_representative_group),none,{'meaning': 'split output hidden; reduce_dim is local'}
19,0_hca_compressor_kv_rmsnorm,RMSNORM,0,1,hidden_split,hca_compressor_pooled_kv=hca_compressor_head_dim@0-127,hca_compressor_kv_normed=hca_compressor_head_dim@0,0.000000000,0.000005000,0.000000000,0.000000000,0.0,0.0,2048.0,629760.0,0.0,262144.0,0.000000000,0.000005000,0.000005000,0.003073630,0.000560625,0.000000000,0.234154663,,0,0.000000000,0.000565625,compute,hca_compressor_pooled_kv:none(compatible_shards+redundant_compute_representative_group),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
20,0_hca_compressor_kv_rope,ELEMENTWISE,0,1,batch_split,hca_compressor_kv_normed=hca_compressor_head_dim@0,compressed_kv_cache=batch_size@0,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,2048.0,629760.0,0.0,262144.0,0.000000000,0.000000500,0.000000500,0.003078630,0.000565625,0.000000000,0.236243000,,0,0.000000000,0.000566125,compute,hca_compressor_kv_normed:alltoall_reshuffle(sharded_to_sharded_or_replicated),gather(output_for_remote),{'meaning': 'split batch/tokens; preserve elementwise layout'}
21,0_DV_FA_flash_attn,REMOTE,0-255,256,manual,previous=batch_size@0,core_attn_output=replicated@0-255,0.000000000,0.001457000,0.000000000,0.000000000,0.0,0.0,0.0,629760.0,0.0,262144.0,0.000639000,0.002096000,0.002096000,0.003079130,0.000566125,0.000000000,0.236451833,,0,0.000000000,0.002662125,compute,previous:none,broadcast(remote_output),{'meaning': 'manual fixed-time remote/custom op'}
22,0_inverse_rope,ELEMENTWISE,0-31,32,hidden_split,core_attn_output=replicated@0-255,chain_output=hidden@0-31,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,512.0,629760.0,0.0,262144.0,0.000000000,0.000000500,0.000000500,0.005175130,0.002394250,0.000000000,1.000000000,0.004907255,0,0.000000000,0.002662625,compute,core_attn_output:none(replicated_local_slice),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
23,0_wo_a_linear,GEMM,0-255,256,2d_batch_output:4x64,core_attn_output=replicated@0-255,"chain_output=2d:batch_size,o_lora_rank@0-255",0.000000000,0.000064000,0.000261516,0.000000000,65536.0,0.0,16448.0,695296.0,0.0,262144.0,0.000000000,0.000064000,0.000064000,0.005175630,0.002394250,0.000261516,1.000000000,0.004907255,0,0.000000000,0.002465109,compute,core_attn_output:none(replicated_local_slice),none,{'meaning': 'coarse 2D split on M and N; layout conversion may cost later'}
24,0_wo_b_linear,GEMM,0-255,256,output_split,"previous=2d:batch_size,o_lora_rank@0-255",o_b_proj_attnout=hidden@0-255,0.000687000,0.000512000,0.001830612,0.000000000,458752.0,0.0,16412.0,1154048.0,0.0,262144.0,0.000000000,0.000512000,0.001199000,0.005926630,0.002394250,0.001830612,1.000000000,0.005168771,0,0.000000000,0.001833497,compute,previous:allgather(previous_shards_to_replicated),none,{'meaning': 'split N/output features; column parallel'}
25,0_ATTN_post_attnout,ELEMENTWISE,0-255,256,hidden_split,o_b_proj_attnout=hidden@0-255; ATTN_pre_post_comb=hidden@0,chain_output=hidden@0-255,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,224.0,1154048.0,0.0,262144.0,0.000000000,0.000000500,0.000000500,0.006438630,0.001833497,0.000000000,0.765791883,,0,0.000000000,0.001833997,compute,o_b_proj_attnout:none(compatible_shards); ATTN_pre_post_comb:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
26,0_ATTN_comb_residual,ELEMENTWISE,0-127,128,hidden_split,ATTN_pre_post_comb=hidden@0; residual=<missing>,ATTN_comb_residual=hidden@0-127,0.000000000,0.000002000,0.000000000,0.000000000,0.0,0.0,1792.0,1154048.0,0.0,262144.0,0.000000000,0.000002000,0.000002000,0.006439130,0.001833997,0.000000000,0.766000717,,0,0.000000000,0.001835997,compute,ATTN_pre_post_comb:none(compatible_shards+redundant_compute_representative_group); residual:none(missing_input),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
27,0_ATTN_comb_residual_reducesum,REDUCE_SUM,0-127,128,hidden_split,previous=hidden@0-127,ATTN_comb_residual_reducesum=hidden@0-127,0.000000000,0.000001500,0.000000000,0.000000000,0.0,0.0,1120.0,1154048.0,0.0,262144.0,0.000000000,0.000001500,0.000001500,0.006441130,0.001835997,0.000000000,0.766836052,,0,0.000000000,0.001837497,compute,previous:none(compatible_shards),none,{'meaning': 'split output hidden; reduce_dim is local'}
28,0_ATTN_add,ELEMENTWISE,0-127,128,hidden_split,ATTN_comb_residual_reducesum=hidden@0-127; ATTN_comb_residual=hidden@0-127,residual=hidden@0-127,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,448.0,1154048.0,0.0,262144.0,0.000000000,0.000000500,0.000000500,0.006442630,0.001837497,0.000000000,0.767462553,,0,0.000000000,0.001837997,compute,ATTN_comb_residual_reducesum:none(compatible_shards); ATTN_comb_residual:none(compatible_shards),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
29,0_FFN_x_rsqrt,RMSNORM,0-7,8,hidden_split,residual=hidden@0-127,FFN_x_rsqrt=hidden@0-7,0.000000000,0.000035000,0.000000000,0.000000000,0.0,0.0,7168.0,1154048.0,0.0,262144.0,0.000057526,0.000092526,0.000092526,0.006443130,0.001837997,0.000000000,0.767671386,,0,0.000000000,0.001930523,communication,residual:none(compatible_shards+redundant_compute_representative_group),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
30,0_FFN_hc_fn_linear,GEMM,0-15,16,input_split,residual=hidden@0-127,FFN_F=replicated@0-15,0.000000000,0.000056000,0.000171620,0.000000000,43008.0,0.0,1816.0,1197056.0,0.0,262144.0,0.000079208,0.000135208,0.000135208,0.006535656,0.001930523,0.000171620,0.806316491,,0,0.000000000,0.001894112,communication,residual:none(compatible_shards+redundant_compute_representative_group),allreduce(output),{'meaning': 'split K/input features; row parallel; allreduce output'}
31,0_FFN_F_rsqrt,ELEMENTWISE,0,1,hidden_split,FFN_F=replicated@0-15; FFN_x_rsqrt=hidden@0-7,FFN_pre_post_comb=hidden@0,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,48.0,1197056.0,0.0,262144.0,0.000000000,0.000000500,0.000000500,0.006670864,0.001894112,0.000000000,0.791108594,,0,0.000000000,0.001894612,compute,FFN_F:none(replicated_local_slice+redundant_compute_representative_group); FFN_x_rsqrt:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
