noc_package_size_bytes,network_alpha_clock_cycles,spec,joint_total_ms,ffn_service_total_ms,dram_stream_break_count,local_dram_bottleneck_ops,tpot_ms,full_model_total_ms,attention_total_ms,drafter_ms,expected_tokens,acceptance_terms,mean_hca_ms_per_layer,mean_csa_ms_per_layer,output_dir
16,3,spec0,0.038203670,0.000867490,11,1,0.465016655,0.465016655,0.465016655,0.000000000,1.000000000,1,0.006634460,0.008644947,noc16_alpha3_spec0
16,3,spec7,0.106408172,0.000867490,9,3,0.402890318,2.294592471,1.294592471,1.000000000,5.695327900,8,0.021045146,0.021406431,noc16_alpha3_spec7
16,10,spec0,0.043234570,0.001028490,10,2,0.527246282,0.527246282,0.527246282,0.000000000,1.000000000,1,0.007658042,0.009661566,noc16_alpha10_spec0
16,10,spec7,0.113214378,0.001028490,9,1,0.418151374,2.381509186,1.381509186,1.000000000,5.695327900,8,0.022353726,0.022951457,noc16_alpha10_spec7
32,3,spec0,0.033925475,0.000751740,5,2,0.412689445,0.412689445,0.412689445,0.000000000,1.000000000,1,0.005752675,0.007811884,noc32_alpha3_spec0
32,3,spec7,0.085654730,0.000751740,9,1,0.358248170,2.040340796,1.040340796,1.000000000,5.695327900,8,0.016868146,0.017247609,noc32_alpha3_spec7
32,10,spec0,0.038755949,0.000912740,9,2,0.471803979,0.471803979,0.471803979,0.000000000,1.000000000,1,0.006675054,0.008829243,noc32_alpha10_spec0
32,10,spec7,0.092843545,0.000912740,9,1,0.374049216,2.130332936,1.130332936,1.000000000,5.695327900,8,0.018234976,0.018834956,noc32_alpha10_spec7
64,3,spec0,0.031714086,0.000686740,2,1,0.384598145,0.384598145,0.384598145,0.000000000,1.000000000,1,0.005285960,0.007357779,noc64_alpha3_spec0
64,3,spec7,0.075508452,0.000686740,17,1,0.336202399,1.914782903,0.914782903,1.000000000,5.695327900,8,0.014936923,0.015057943,noc64_alpha3_spec7
64,10,spec0,0.036616056,0.000867240,6,2,0.445507183,0.445507183,0.445507183,0.000000000,1.000000000,1,0.006213313,0.008429816,noc64_alpha10_spec0
64,10,spec7,0.081894830,0.000867240,9,1,0.350382098,1.995540936,0.995540936,1.000000000,5.695327900,8,0.016200476,0.016444206,noc64_alpha10_spec7
128,3,spec0,0.030666843,0.000653740,1,1,0.373048684,0.373048684,0.373048684,0.000000000,1.000000000,1,0.005095969,0.007169122,noc128_alpha3_spec0
128,3,spec7,0.068462986,0.000653740,5,1,0.320763200,1.826851601,0.826851601,1.000000000,5.695327900,8,0.013647271,0.013459540,noc128_alpha3_spec7
128,10,spec0,0.035462778,0.000860240,2,2,0.431142013,0.431142013,0.431142013,0.000000000,1.000000000,1,0.005982313,0.008189677,noc128_alpha10_spec0
128,10,spec7,0.076509939,0.000860240,13,5,0.339028034,1.930875821,0.930875821,1.000000000,5.695327900,8,0.015302476,0.015216636,noc128_alpha10_spec7
