op_index,op_name,op_type,cores,num_cores,partition,input_tensors,output_tensor,transform_ms,compute_ms,local_dram_ms,local_sram_ms,max_weight_capacity_per_core_bytes,max_kv_capacity_per_core_bytes,max_io_capacity_per_core_bytes,cumulative_weight_capacity_per_core_bytes,cumulative_kv_capacity_per_core_bytes,max_io_capacity_per_core_so_far_bytes,internal_comm_ms,op_latency_ms,step_latency_ms,compute_start_time_ms,prefetch_window_ms,prefetch_dram_hidden_ms,prefetch_sram_utilization_at_compute_start,prefetch_sram_full_time_ms,dram_stream_break_count,dram_restart_penalty_ms,exposed_time_after_step_ms,bottleneck,transform_comm_semantics,internal_comm_semantics,notes
0,0_ATTN_x_rsqrt,RMSNORM,0-63,64,2d_batch_hidden:8x8,residual=<missing>,"ATTN_x_rsqrt=2d:batch_size,hidden@0-63",0.000000000,0.000035000,0.000000000,0.000000000,0.0,0.0,7168.0,0.0,0.0,7168.0,0.000082052,0.000117052,0.000117052,0.000000000,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000117052,communication,residual:none(missing_input),allreduce(rms_stats_per_batch_shard),{'meaning': 'split batch and hidden; approximate allreduce RMS statistic'}
1,0_ATTN_hc_fn_linear,GEMM,0-63,64,input_split,residual=<missing>,ATTN_F=replicated@0-63,0.000000000,0.000028000,0.000042905,0.000000000,10752.0,0.0,3776.0,10752.0,0.0,7168.0,0.000092500,0.000120500,0.000120500,0.000117052,0.000117052,0.000042905,0.048888831,,0,0.000000000,0.000194647,communication,residual:none(missing_input),allreduce(output),{'meaning': 'split K/input features; row parallel; allreduce output'}
2,0_ATTN_F_rsqrt,ELEMENTWISE,0,1,batch_split,"ATTN_F=replicated@0-63; ATTN_x_rsqrt=2d:batch_size,hidden@0-63",ATTN_pre_post_comb=batch_size@0,0.000127000,0.000000500,0.000000000,0.000000000,0.0,0.0,384.0,10752.0,0.0,7168.0,0.000000000,0.000000500,0.000127500,0.000364552,0.000321647,0.000000000,0.134341494,,0,0.000000000,0.000322147,compute,ATTN_F:none(replicated_local_slice+redundant_compute_representative_group); ATTN_x_rsqrt:alltoall_reshuffle(sharded_to_sharded_or_replicated+redundant_compute_representative_group),none,{'meaning': 'split batch/tokens; preserve elementwise layout'}
3,0_ATTN_pre_x,ELEMENTWISE,0-127,128,hidden_split,previous=batch_size@0,chain_output=hidden@0-127,0.000000000,0.000003500,0.000000000,0.000000000,0.0,0.0,3584.0,10752.0,0.0,7168.0,0.000000000,0.000003500,0.000003500,0.000365052,0.000322147,0.000000000,0.134550328,,0,0.000000000,0.000325647,compute,previous:alltoall_reshuffle(sharded_to_sharded_or_replicated+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
4,0_ATTN_pre_x_reducesum,REDUCE_SUM,0-127,128,hidden_split,previous=hidden@0-127,chain_output=hidden@0-127,0.000000000,0.000003000,0.000000000,0.000000000,0.0,0.0,2240.0,10752.0,0.0,7168.0,0.000000000,0.000003000,0.000003000,0.000368552,0.000325647,0.000000000,0.136012163,,0,0.000000000,0.000328647,compute,previous:none(compatible_shards),none,{'meaning': 'split output hidden; reduce_dim is local'}
5,0_ATTN_attn_norm,RMSNORM,0-15,16,hidden_split,previous=hidden@0-127,attn_norm_output=hidden@0-15,0.000000000,0.000035000,0.000000000,0.000000000,0.0,0.0,7168.0,10752.0,0.0,7168.0,0.000048278,0.000083278,0.000083278,0.000371552,0.000328647,0.000000000,0.137265165,,0,0.000000000,0.000411925,communication,previous:none(compatible_shards+redundant_compute_representative_group),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
6,0_q_a_linear,GEMM,0-255,256,2d_batch_output:2x128,attn_norm_output=hidden@0-15,"chain_output=2d:batch_size,q_lora_rank@0-255",0.000051750,0.000112000,0.000343240,0.000000000,86016.0,0.0,28720.0,96768.0,0.0,28720.0,0.000000000,0.000112000,0.000163750,0.000506580,0.000463675,0.000343240,0.193661856,,0,0.000000000,0.000232435,compute,attn_norm_output:alltoall_reshuffle(sharded_to_sharded_or_replicated+redundant_compute_representative_group),none,{'meaning': 'coarse 2D split on M and N; layout conversion may cost later'}
7,0_q_norm,RMSNORM,0-7,8,2d_batch_q_lora_rank:2x4,"previous=2d:batch_size,q_lora_rank@0-255","q_lora_normed=2d:batch_size,q_lora_rank@0-7",0.000087000,0.000015000,0.000000000,0.000000000,0.0,0.0,3072.0,96768.0,0.0,28720.0,0.000036604,0.000051604,0.000138604,0.000705580,0.000319435,0.000000000,0.133417654,,0,0.000000000,0.000371039,communication,previous:alltoall_reshuffle(sharded_to_sharded_or_replicated),allreduce(rms_stats_per_batch_shard),{'meaning': 'split batch and hidden; approximate allreduce RMS statistic'}
8,0_q_b_linear,GEMM,0-255,256,output_split,"q_lora_normed=2d:batch_size,q_lora_rank@0-7",chain_output=heads*head_dim@0-255,0.000097500,0.000768000,0.001569096,0.000000000,393216.0,0.0,14336.0,489984.0,0.0,28720.0,0.000000000,0.001100556,0.001198056,0.000854684,0.000468539,0.000468539,0.195693593,,0,0.000000000,0.000000000,local_dram,q_lora_normed:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
9,0_qb_rnorm,RMSNORM,0-127,128,hidden_split,previous=heads*head_dim@0-255,query_heads_normed=heads*head_dim@0-127,0.000195750,0.000040000,0.000000000,0.000000000,0.0,0.0,8192.0,489984.0,0.0,28720.0,0.000110486,0.000150486,0.000346236,0.002150990,0.000195750,0.000000000,0.081758379,,0,0.000000000,0.000346236,communication,previous:alltoall_reshuffle(sharded_to_sharded),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
