"reticle_num","local_sram_capacity_per_core_bytes","spec","joint_total_ms","ffn_service_total_ms","dram_stream_break_count","local_dram_bottleneck_ops","output_dir"
"1","500000","spec0","0.116136851","0.002366134","9","29","reticle1_sram500000_spec0"
"1","500000","spec7","0.159250391","0.002366134","31","21","reticle1_sram500000_spec7"
"1","1000000","spec0","0.0900043600000001","0.002148938","6","25","reticle1_sram1000000_spec0"
"1","1000000","spec7","0.135594156","0.002148938","9","14","reticle1_sram1000000_spec7"
"1","1500000","spec0","0.0860108020000001","0.002130355","0","24","reticle1_sram1500000_spec0"
"1","1500000","spec7","0.127560406","0.002130355","9","4","reticle1_sram1500000_spec7"
"1","2000000","spec0","0.0860108020000001","0.002130355","0","24","reticle1_sram2000000_spec0"
"1","2000000","spec7","0.124916156","0.002130355","9","2","reticle1_sram2000000_spec7"
"2","500000","spec0","0.06484756","0.001237817","9","19","reticle2_sram500000_spec0"
"2","500000","spec7","0.103464815","0.001237817","25","16","reticle2_sram500000_spec7"
"2","1000000","spec0","0.046183657","0.001129219","2","14","reticle2_sram1000000_spec0"
"2","1000000","spec7","0.095889611","0.001129219","13","2","reticle2_sram1000000_spec7"
"2","1500000","spec0","0.044772586","0.001119928","0","11","reticle2_sram1500000_spec0"
"2","1500000","spec7","0.090752992","0.001119928","5","9","reticle2_sram1500000_spec7"
"2","2000000","spec0","0.044772586","0.001119928","0","11","reticle2_sram2000000_spec0"
"2","2000000","spec7","0.088824301","0.001119928","5","2","reticle2_sram2000000_spec7"
"4","500000","spec0","0.0411665510000001","0.000722939","9","10","reticle4_sram500000_spec0"
"4","500000","spec7","0.080352301","0.000722939","27","8","reticle4_sram500000_spec7"
"4","1000000","spec0","0.0317140860000001","0.00068674","2","1","reticle4_sram1000000_spec0"
"4","1000000","spec7","0.075508458","0.00068674","17","1","reticle4_sram1000000_spec7"
"4","1500000","spec0","0.0316167980000001","0.000683643","0","1","reticle4_sram1500000_spec0"
"4","1500000","spec7","0.075000442","0.000683643","6","1","reticle4_sram1500000_spec7"
"4","2000000","spec0","0.0316167980000001","0.000683643","0","1","reticle4_sram2000000_spec0"
"4","2000000","spec7","0.074961442","0.000683643","12","1","reticle4_sram2000000_spec7"
